id;source;display_name;extras_fim_vigencia;extras_fim_implantacao;extras_inicio_vigencia;extras_laboratorio;extras_apresentacao
"90609468";"tuss-20";"RIVAROXABANA";"-";"2025-10-31";"2025-08-01";"ALTHAIA S.A INDÚSTRIA FARMACÊUTICA";"10 MG COM REV CT BL AL PLAS PVC TRANS X 30"
"90609450";"tuss-20";"RIVAROXABANA";"-";"2025-10-31";"2025-08-01";"ALTHAIA S.A INDÚSTRIA FARMACÊUTICA";"10 MG COM REV CT BL AL PLAS PVC TRANS X 20"
"90609441";"tuss-20";"RIVAROXABANA";"-";"2025-10-31";"2025-08-01";"ALTHAIA S.A INDÚSTRIA FARMACÊUTICA";"10 MG COM REV CT BL AL PLAS PVC TRANS X 15"
"90609433";"tuss-20";"RIVAROXABANA";"-";"2025-10-31";"2025-08-01";"ALTHAIA S.A INDÚSTRIA FARMACÊUTICA";"10 MG COM REV CT BL AL PLAS PVC TRANS X 10"
"90609425";"tuss-20";"RIVAROXABANA";"-";"2025-10-31";"2025-08-01";"ALTHAIA S.A INDÚSTRIA FARMACÊUTICA";"10 MG COM REV CT BL AL PLAS PVC TRANS X 5"
"90609417";"tuss-20";"FURP-RIFAMPICINA";"-";"2025-10-31";"2025-08-01";"FUNDAÇÃO PARA O REMÉDIO POPULAR - FURP";"20 MG/ML SUS OR CX 50 FR VD AMB X 50 ML + 50 COP"
"90609409";"tuss-20";"EPOCLER COMPRIMIDO";"-";"2025-10-31";"2025-08-01";"COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.";"(100+20) MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 100"
"90609395";"tuss-20";"EPOCLER COMPRIMIDO";"-";"2025-10-31";"2025-08-01";"COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.";"(100+20) MG COM REV CT BL AL PLAS PVC/PVDC TRANS X 30"
"90609387";"tuss-20";"PIRFENIDONA";"-";"2025-10-31";"2025-08-01";"SANDOZ DO BRASIL INDÚSTRIA FARMACÊUTICA LTDA";"267 MG CAP DURA CT FR PLAS PEAD OPC X 270"
"90609379";"tuss-20";"NEULEPTIL";"-";"2025-10-31";"2025-08-01";"BLANVER FARMOQUIMICA E FARMACEUTICA S.A.";"40 MG/ML SOL OR CT FR VD CGT X 20 ML"
"90609360";"tuss-20";"NEULEPTIL";"-";"2025-10-31";"2025-08-01";"BLANVER FARMOQUIMICA E FARMACEUTICA S.A.";"10 MG/ML SOL OR PED CT FR VD CGT X 20 ML"
"90609352";"tuss-20";"NEULEPTIL";"-";"2025-10-31";"2025-08-01";"BLANVER FARMOQUIMICA E FARMACEUTICA S.A.";"10 MG COM REV CT BL AL PLAS TRANS X 20"
"90609344";"tuss-20";"PERFENOL MULTI";"-";"2025-10-31";"2025-08-01";"UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A";"(40,0 + 1,0 + 0,4) MG/ML SOL OR CT FR VD AMB X 120 ML + COP"
"90609336";"tuss-20";"PTZOL";"-";"2025-10-31";"2025-08-01";"CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.";"40 MG PO LIOF SOL INJ IV CX 25 FA VD AMB + DIL 25 AMP VD AMB X 10 ML"
"90609328";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT 3 SER PREENC PLAS TRANS X 1,5 ML + 6 AGU"
"90609310";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT 2 SER PREENC PLAS TRANS X 1,5 ML + 4 AGU"
"90609301";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT SER PREENC PLAS TRANS X 1,5 ML + 2 AGU"
"90609298";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT 3 SER PREENC PLAS TRANS X 1 ML + 6 AGU"
"90609280";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT 2 SER PREENC PLAS TRANS X 1 ML + 4 AGU"
"90609271";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT SER PREENC PLAS TRANS X 1 ML + 2 AGU"
"90609263";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT 3 SER PREENC PLAS TRANS X 0,75 ML + 6 AGU"
"90609255";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT 2 SER PREENC PLAS TRANS X 0,75 ML + 4 AGU"
"90609247";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT SER PREENC PLAS TRANS X 0,75 ML + 2 AGU"
"90609239";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT 3 SER PREENC PLAS TRANS X 0,50 ML + 6 AGU"
"90609220";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT 2 SER PREENC PLAS TRANS X 0,50 ML + 4 AGU"
"90609212";"tuss-20";"PALMITATO DE PALIPERIDONA";"-";"2025-10-31";"2025-08-01";"ADIUM S.A.";"100 MG/ML SUS INJ LIB PROL IM CT SER PREENC PLAS TRANS X 0,50 ML + 2 AGU"
"90609204";"tuss-20";"OXALATO DE ESCITALOPRAM";"-";"2025-10-31";"2025-08-01";"ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A";"20 MG COM REV CT BL AL PLAS TRANS X 60"
"90609190";"tuss-20";"OXALATO DE ESCITALOPRAM";"-";"2025-10-31";"2025-08-01";"EMS S/A";"20 MG COM REV CT BL AL PLAS PVC/PVDC OPC X 60"
"90609182";"tuss-20";"SKYCLARYS";"-";"2025-10-31";"2025-08-01";"BIOGEN BRASIL PRODUTOS FARMACEUTICOS LTDA";"50 MG CAP DURA CT FR PLAS PEAD OPC X 90"
"90609174";"tuss-20";"OLMESARTANA MEDOXOMILA";"-";"2025-10-31";"2025-08-01";"LABORATORIO TEUTO BRASILEIRO S/A";"40 MG COM REV CT BL AL AL X 30"
"90609166";"tuss-20";"OLMESARTANA MEDOXOMILA";"-";"2025-10-31";"2025-08-01";"LABORATORIO TEUTO BRASILEIRO S/A";"20 MG COM REV CT BL AL AL X 30"
"90609158";"tuss-20";"NIQUITIN";"-";"2025-10-31";"2025-08-01";"MAPPEL INDÚSTRIA DE EMBALAGENS S.A.";"21 MG ADES TRANSD TRANS CT ENV AL PE X 7"
"90609140";"tuss-20";"NIQUITIN";"-";"2025-10-31";"2025-08-01";"MAPPEL INDÚSTRIA DE EMBALAGENS S.A.";"14 MG ADES TRANSD TRANS CT ENV AL PE X 7"
"90609131";"tuss-20";"NIQUITIN";"-";"2025-10-31";"2025-08-01";"MAPPEL INDÚSTRIA DE EMBALAGENS S.A.";"7 MG ADES TRANSD TRANS CT ENV AL PE X 7"
"90609123";"tuss-20";"MONTELUCASTE SÓDICO";"-";"2025-10-31";"2025-08-01";"CIMED INDUSTRIA S.A";"10 MG COM REV CT BL AL AL X 30"
"90609115";"tuss-20";"METOTREXATO";"-";"2025-10-31";"2025-08-01";"BLAU FARMACEUTICA S.A.";"2,5 MG COM CT BL AL PLAS PVC AMB X 240"
"90609107";"tuss-20";"METOTREXATO";"-";"2025-10-31";"2025-08-01";"BLAU FARMACEUTICA S.A.";"2,5 MG COM CT BL AL PLAS PVC AMB X 24"
