id;source;display_name;extras_fim_vigencia;extras_fim_implantacao;extras_inicio_vigencia
"30914175";"tuss-22";"Linfadenectomia pélvica robótica";"-";"2026-06-30";"2026-04-01"
"31201180";"tuss-22";"Prostatavesiculectomia radical robótica";"-";"2026-06-30";"2026-04-01"
"87000199";"tuss-22";"Colocação de aparelho ortodôntico removível";"-";"2016-04-15";"2016-01-15"
"87000180";"tuss-22";"Sedação medicamentosa ambulatorial em pacientes com necessidades especiais em odontologia";"-";"2011-03-06";"2010-06-09"
"87000164";"tuss-22";"Sedação consciente com óxido nitroso e oxigênio em pacientes com necessidades especiais em odontologia";"-";"2011-03-06";"2010-06-09"
"87000148";"tuss-22";"Estabilização por meio de contenção física e/ou mecânica em pacientes com necessidades especiais em odontologia ";"-";"2011-03-06";"2010-06-09"
"87000067";"tuss-22";"Coroa de policarbonato em dente permanente";"-";"2011-03-06";"2010-06-09"
"87000059";"tuss-22";"Coroa de aço em dente permanente";"-";"2011-03-06";"2010-06-09"
"87000040";"tuss-22";"Coroa de acetato em dente permanente";"-";"2011-03-06";"2010-06-09"
"87000032";"tuss-22";"Condicionamento em odontologia para pacientes com necessidades especiais";"-";"2011-03-06";"2010-06-09"
"87000024";"tuss-22";"Atividade educativa para pais e/ou cuidadores ";"-";"2011-03-06";"2010-06-09"
"87000016";"tuss-22";"Atividade educativa em odontologia para pais e/ou cuidadores de pacientes com necessidades especiais";"-";"2011-03-06";"2010-06-09"
"86000616";"tuss-22";"Recolocação de mantenedor de espaço";"-";"2014-08-31";"2013-12-01"
"86000608";"tuss-22";"Placa de contenção ortodôntica";"-";"2014-08-31";"2013-12-01"
"86000594";"tuss-22";"Splinter";"-";"2011-03-06";"2010-06-09"
"86000586";"tuss-22";"Simões Network";"-";"2011-03-06";"2010-06-09"
"86000578";"tuss-22";"Regulador de função de Frankel";"-";"2011-03-06";"2010-06-09"
"86000560";"tuss-22";"Quadrihélice";"-";"2011-03-06";"2010-06-09"
"86000551";"tuss-22";"Plano inclinado";"-";"2011-03-06";"2010-06-09"
"86000543";"tuss-22";"Plano anterior fixo";"-";"2011-03-06";"2010-06-09"
"86000535";"tuss-22";"Placa lábio-ativa ";"-";"2011-03-06";"2010-06-09"
"86000527";"tuss-22";"Placa encapsulada de Maurício";"-";"2011-03-06";"2010-06-09"
"86000519";"tuss-22";"Placa dupla de Sanders";"-";"2011-03-06";"2010-06-09"
"86000500";"tuss-22";"Placa de verticalização de caninos";"-";"2011-03-06";"2010-06-09"
"86000497";"tuss-22";"Placa de Schwarz";"-";"2011-03-06";"2010-06-09"
"86000489";"tuss-22";"Placa de mordida ortodôntica";"-";"2011-03-06";"2010-06-09"
"86000470";"tuss-22";"Placa de Hawley - com torno expansor";"-";"2011-03-06";"2010-06-09"
"86000462";"tuss-22";"Placa de Hawley";"-";"2011-03-06";"2010-06-09"
"86000454";"tuss-22";"Placa de distalização de molares";"-";"2011-03-06";"2010-06-09"
"86000446";"tuss-22";"Pistas indiretas de Planas";"-";"2011-03-06";"2010-06-09"
"86000438";"tuss-22";"Pistas diretas de Planas - superior e inferior";"-";"2011-03-06";"2010-06-09"
"86000420";"tuss-22";"Obtenção de modelos gnatostáticos de Planas";"-";"2011-03-06";"2010-06-09"
"86000411";"tuss-22";"Monobloco";"-";"2011-03-06";"2010-06-09"
"86000403";"tuss-22";"Modelador elástico de Bimler";"-";"2011-03-06";"2010-06-09"
"86000390";"tuss-22";"Mentoneira";"-";"2011-03-06";"2010-06-09"
"86000381";"tuss-22";"Máscara facial - Delaire e Tração Reversa";"-";"2011-03-06";"2010-06-09"
"86000373";"tuss-22";"Manutenção de aparelho ortodôntico - aparelho removível";"-";"2011-03-06";"2010-06-09"
"86000365";"tuss-22";"Manutenção de aparelho ortodôntico - aparelho ortopédico";"-";"2011-03-06";"2010-06-09"
"86000357";"tuss-22";"Manutenção de aparelho ortodôntico - aparelho fixo";"-";"2011-03-06";"2010-06-09"
"86000330";"tuss-22";"Herbst encapsulado";"-";"2011-03-06";"2010-06-09"
"86000322";"tuss-22";"Grade palatina removível";"-";"2011-03-06";"2010-06-09"
"86000314";"tuss-22";"Grade palatina fixa ";"-";"2011-03-06";"2010-06-09"
"86000306";"tuss-22";"Gianelly";"-";"2011-03-06";"2010-06-09"
"86000292";"tuss-22";"Documentação eletromiográfica";"-";"2011-03-06";"2010-06-09"
"86000284";"tuss-22";"Distalizador tipo Jones Jig ";"-";"2011-03-06";"2010-06-09"
"86000276";"tuss-22";"Distalizador Pendulo/Pendex";"-";"2011-03-06";"2010-06-09"
"86000268";"tuss-22";"Distalizador Distal Jet";"-";"2011-03-06";"2010-06-09"
"86000250";"tuss-22";"Distalizador de Hilgers";"-";"2011-03-06";"2010-06-09"
"86000241";"tuss-22";"Distalizador com mola nitinol";"-";"2011-03-06";"2010-06-09"
"86000233";"tuss-22";"Disjuntor palatino - Macnamara";"-";"2011-03-06";"2010-06-09"
"86000225";"tuss-22";"Disjuntor palatino - Hirax";"-";"2011-03-06";"2010-06-09"
"86000209";"tuss-22";"Contenção fixa por arcada, em ortodontia";"-";"2016-03-31";"2016-01-01"
"86000195";"tuss-22";"Botão de Nance";"-";"2011-03-06";"2010-06-09"
"86000187";"tuss-22";"Blocos geminados de Clark - twinblock";"-";"2011-03-06";"2010-06-09"
"86000179";"tuss-22";"Bionator de Balters";"-";"2011-03-06";"2010-06-09"
"86000160";"tuss-22";"Barra transpalatina removível";"-";"2011-03-06";"2010-06-09"
"86000152";"tuss-22";"Barra transpalatina fixa";"-";"2011-03-06";"2010-06-09"
"86000144";"tuss-22";"Arco lingual ";"-";"2011-03-06";"2010-06-09"
"86000128";"tuss-22";"Aparelho removível com alças bionator invertida ou de Escheler";"-";"2011-03-06";"2010-06-09"
"86000110";"tuss-22";"Aparelho ortodôntico fixo metálico parcial";"-";"2011-03-06";"2010-06-09"
"86000098";"tuss-22";"Aparelho ortodôntico fixo metálico";"-";"2011-03-06";"2010-06-09"
"86000080";"tuss-22";"Aparelho ortodôntico fixo estético parcial";"-";"2011-03-06";"2010-06-09"
"86000063";"tuss-22";"Aparelho ortodôntico fixo estético";"-";"2011-03-06";"2010-06-09"
"86000055";"tuss-22";"Aparelho extra-bucal ";"-";"2011-03-06";"2010-06-09"
"86000047";"tuss-22";"Aparelho de Thurow";"-";"2011-03-06";"2010-06-09"
